Year,StateANSI,OtherStateANSI,InflowReturns,InflowExemptions,InflowAGI
2011,1,1,1591968,3593492,80792924
2010,1,1,1604990,3609606,79341033
2009,1,1,1632467,3629748,83764352
2008,1,1,1612276,3579529,83887827
2007,1,1,1532800,3443705,78152182
2006,1,1,1507515,3400241,73090981
2005,1,1,1501675,3401484,69502997
2004,1,1,1497828,3396876,65594902
2003,1,1,1499461,3389383,63437492
2002,1,1,1506891,3390671,63342589
2001,1,1,1505759,3392308,63339805
2000,1,1,1497168,3378396,61416356
1999,1,1,1478696,3342311,56633730
1998,1,1,1460439,3322368,53439052
1997,1,1,1447841,3315932,51607827
1996,1,1,1424386,3271520,49296909
1995,1,1,1404958,3249579,44866044
1994,1,1,1390158,3261943,42611147
1993,1,1,1374133,3232884,41638920
2011,1,2,231,578,12028
2010,1,2,209,528,9065
2009,1,2,218,542,10688
2008,1,2,186,476,10876
2007,1,2,176,456,9207
2006,1,2,170,404,6633
2005,1,2,171,422,6919
2004,1,2,155,368,6035
2003,1,2,140,351,5490
2002,1,2,154,388,5665
2001,1,2,138,286,5626
2000,1,2,165,433,6319
1999,1,2,193,531,6957
1998,1,2,163,410,5321
1997,1,2,164,404,5169
1996,1,2,165,407,5774
1995,1,2,244,655,8003
1994,1,2,229,637,7032
1993,1,2,236,642,7453
2011,1,4,534,1248,25581
2010,1,4,465,1005,22913
2009,1,4,496,1089,24243
2008,1,4,528,1077,23123
2007,1,4,483,1019,24570
2006,1,4,505,1182,25176
2005,1,4,397,838,17049
2004,1,4,438,945,18598
2003,1,4,388,807,15488
2002,1,4,390,811,15313
2001,1,4,362,719,15171
2000,1,4,349,731,13171
1999,1,4,374,790,12675
1998,1,4,349,750,11858
1997,1,4,383,841,11656
1996,1,4,384,845,12166
1995,1,4,360,792,10257
1994,1,4,344,810,9834
1993,1,4,355,770,9584
2011,1,5,553,1096,23216
2010,1,5,431,926,18390
2009,1,5,458,970,20048
2008,1,5,456,986,17315
2007,1,5,502,1100,21951
2006,1,5,522,1137,20284
2005,1,5,415,862,18986
2004,1,5,545,1249,20321
2003,1,5,485,1095,19415
2002,1,5,472,1019,19444
2001,1,5,495,1099,18513
2000,1,5,495,1114,19489
1999,1,5,481,1055,17736
1998,1,5,492,1088,16069
1997,1,5,477,1075,14192
1996,1,5,457,985,14845
1995,1,5,497,1108,13473
1994,1,5,439,990,12717
1993,1,5,501,1140,13489
2011,1,6,1541,3192,64665
2010,1,6,1510,3107,65910
2009,1,6,1748,3581,80865
2008,1,6,1726,3556,83006
2007,1,6,1840,3920,83322
2006,1,6,1851,3957,83527
2005,1,6,1818,3928,77778
2004,1,6,1573,3339,63102
2003,1,6,1555,3178,61414
2002,1,6,1447,2966,60047
2001,1,6,1482,3179,59942
2000,1,6,1556,3349,63393
1999,1,6,1525,3226,55529
1998,1,6,1547,3347,52885
1997,1,6,1601,3464,49223
1996,1,6,1853,4053,54231
1995,1,6,2035,4387,59200
1994,1,6,2148,4864,62241
1993,1,6,2353,5310,71035
2011,1,8,524,1125,25535
2010,1,8,563,1251,24828
2009,1,8,524,1213,28200
2008,1,8,532,1115,28407
2007,1,8,537,1238,27405
2006,1,8,508,1121,23060
2005,1,8,561,1291,25030
2004,1,8,582,1301,25513
2003,1,8,562,1198,22047
2002,1,8,582,1215,23673
2001,1,8,476,993,19627
2000,1,8,477,1013,19607
1999,1,8,494,1045,18656
1998,1,8,502,1070,16474
1997,1,8,547,1212,17831
1996,1,8,559,1294,17356
1995,1,8,521,1202,15155
1994,1,8,529,1184,14533
1993,1,8,502,1202,16229
2011,1,9,179,362,8938
2010,1,9,197,327,8873
2009,1,9,201,368,10058
2008,1,9,198,398,8911
2007,1,9,193,358,9850
2006,1,9,198,406,9658
2005,1,9,200,393,9121
2004,1,9,189,375,9387
2003,1,9,199,392,12810
2002,1,9,170,314,8384
2001,1,9,159,292,9153
2000,1,9,163,314,7305
1999,1,9,189,378,7302
1998,1,9,208,394,6674
1997,1,9,202,387,7030
1996,1,9,220,458,9954
1995,1,9,226,435,9383
1994,1,9,207,419,7815
1993,1,9,208,459,6993
2011,1,10,57,150,2640
2010,1,10,59,113,2327
2009,1,10,66,133,3425
2008,1,10,65,128,2934
2007,1,10,84,184,4646
2006,1,10,69,148,3632
2005,1,10,59,138,2879
2004,1,10,57,123,2804
2003,1,10,72,167,3106
2002,1,10,58,133,2634
2001,1,10,57,132,2291
2000,1,10,63,160,2514
1999,1,10,74,154,2871
1998,1,10,66,136,2853
1997,1,10,90,177,3516
1996,1,10,75,159,2217
1995,1,10,83,190,3095
1994,1,10,62,145,1724
1993,1,10,81,162,2433
2011,1,11,58,79,3484
2010,1,11,71,99,4168
2009,1,11,59,90,3677
2008,1,11,87,138,5384
2007,1,11,79,120,3928
2006,1,11,79,111,3577
2005,1,11,68,124,2506
2004,1,11,50,94,1837
2003,1,11,57,87,2741
2002,1,11,64,115,3745
2001,1,11,55,91,2348
2000,1,11,68,129,3400
1999,1,11,68,126,2975
1998,1,11,59,94,2075
1997,1,11,67,109,1815
1996,1,11,65,120,1848
1995,1,11,68,120,2524
1994,1,11,78,127,2372
1993,1,11,73,128,2115
2011,1,12,6115,12189,234780
2010,1,12,6086,12305,240772
2009,1,12,7075,13960,274399
2008,1,12,7880,15773,305938
2007,1,12,7396,15021,297835
2006,1,12,7413,14920,298516
2005,1,12,6242,12803,232515
2004,1,12,5530,11104,211468
2003,1,12,5489,11082,181627
2002,1,12,5353,10848,185993
2001,1,12,5324,10816,211904
2000,1,12,5721,11540,180290
1999,1,12,5891,12150,195414
1998,1,12,6072,12621,186239
1997,1,12,6170,12784,178244
1996,1,12,6116,12814,167435
1995,1,12,6307,13169,149724
1994,1,12,5967,12612,136617
1993,1,12,6440,13881,154216
2011,1,13,8101,17114,284400
2010,1,13,7269,15404,256014
2009,1,13,7680,16153,288562
2008,1,13,7933,16756,324991
2007,1,13,7386,15791,303128
2006,1,13,7367,15776,292739
2005,1,13,7185,15340,284234
2004,1,13,6635,13842,250117
2003,1,13,6684,13838,243081
2002,1,13,6677,13762,241132
2001,1,13,6453,13341,238921
2000,1,13,6749,14185,259199
1999,1,13,6522,13736,237181
1998,1,13,6693,14181,220959
1997,1,13,7888,17218,220635
1996,1,13,6771,14342,193249
1995,1,13,6528,13908,172326
1994,1,13,6394,13907,167540
1993,1,13,6574,14353,166510
2011,1,15,250,602,10234
2010,1,15,249,617,10516
2009,1,15,296,696,13894
2008,1,15,243,608,10277
2007,1,15,234,568,10412
2006,1,15,284,759,11321
2005,1,15,161,385,6971
2004,1,15,224,556,9375
2003,1,15,210,497,8398
2002,1,15,222,556,8073
2001,1,15,180,459,6793
2000,1,15,197,526,7542
1999,1,15,274,718,9671
1998,1,15,221,550,7101
1997,1,15,249,618,8020
1996,1,15,271,648,8264
1995,1,15,324,797,9326
1994,1,15,284,721,7260
1993,1,15,337,883,9368
2011,1,16,93,237,4242
2010,1,16,75,171,2635
2009,1,16,73,172,2826
2008,1,16,82,184,3541
2007,1,16,80,184,3421
2006,1,16,92,220,3658
2005,1,16,74,175,2853
2004,1,16,59,127,1993
2003,1,16,59,129,2343
2002,1,16,103,215,3186
2001,1,16,72,181,3910
2000,1,16,63,155,1993
1999,1,16,57,121,1843
1998,1,16,62,132,1801
1997,1,16,57,135,1620
1996,1,16,58,144,1527
1995,1,16,64,156,1808
1994,1,16,63,156,1583
1993,1,16,63,154,1794
2011,1,17,928,1846,39830
2010,1,17,968,1942,39116
2009,1,17,1048,2105,47937
2008,1,17,1146,2252,46266
2007,1,17,1017,2082,46589
2006,1,17,1107,2329,50458
2005,1,17,1062,2154,60181
2004,1,17,1064,2265,41317
2003,1,17,1053,2146,39795
2002,1,17,991,1983,46241
2001,1,17,1016,2113,40553
2000,1,17,1162,2411,48006
1999,1,17,1161,2447,47247
1998,1,17,1524,3255,61747
1997,1,17,1258,2713,45386
1996,1,17,1207,2647,39441
1995,1,17,1225,2631,37597
1994,1,17,1282,2872,38612
1993,1,17,1271,2793,37267
2011,1,18,690,1446,29544
2010,1,18,713,1406,27767
2009,1,18,746,1525,31189
2008,1,18,752,1564,76067
2007,1,18,745,1571,33796
2006,1,18,739,1580,33552
2005,1,18,786,1646,32645
2004,1,18,733,1534,30328
2003,1,18,672,1420,25152
2002,1,18,659,1321,21846
2001,1,18,681,1345,26465
2000,1,18,681,1341,25138
1999,1,18,708,1471,25492
1998,1,18,765,1723,25700
1997,1,18,769,1626,23064
1996,1,18,736,1585,21890
1995,1,18,719,1523,19276
1994,1,18,702,1595,17508
1993,1,18,692,1491,17070
2011,1,19,198,420,9652
2010,1,19,202,420,10594
2009,1,19,193,389,11707
2008,1,19,190,385,8246
2007,1,19,174,369,6912
2006,1,19,167,353,6533
2005,1,19,154,315,5953
2004,1,19,165,330,6551
2003,1,19,174,372,6639
2002,1,19,152,331,6461
2001,1,19,197,432,9046
2000,1,19,162,350,7434
1999,1,19,155,337,6275
1998,1,19,174,392,7697
1997,1,19,184,403,6320
1996,1,19,164,328,4766
1995,1,19,157,352,4440
1994,1,19,171,375,5678
1993,1,19,154,343,4814
2011,1,20,357,794,13954
2010,1,20,397,981,18616
2009,1,20,347,766,15162
2008,1,20,299,674,12935
2007,1,20,292,690,14881
2006,1,20,273,667,11142
2005,1,20,310,743,12537
2004,1,20,267,610,10479
2003,1,20,299,711,12051
2002,1,20,279,686,10220
2001,1,20,280,690,11744
2000,1,20,313,763,11481
1999,1,20,306,740,11368
1998,1,20,294,682,10048
1997,1,20,285,669,9371
1996,1,20,360,852,12201
1995,1,20,394,986,11339
1994,1,20,363,860,9423
1993,1,20,389,1041,12517
2011,1,21,846,1855,36271
2010,1,21,848,1841,35217
2009,1,21,791,1680,31950
2008,1,21,800,1770,35838
2007,1,21,821,1795,36031
2006,1,21,782,1761,30492
2005,1,21,833,1868,33528
2004,1,21,743,1602,26579
2003,1,21,770,1641,28650
2002,1,21,743,1650,27354
2001,1,21,745,1614,28402
2000,1,21,756,1749,27158
1999,1,21,753,1622,26889
1998,1,21,799,1840,28548
1997,1,21,807,1854,25089
1996,1,21,739,1594,22450
1995,1,21,761,1741,22833
1994,1,21,839,1978,26672
1993,1,21,775,1821,22712
2011,1,22,1167,2480,52421
2010,1,22,1136,2330,50084
2009,1,22,1249,2606,61937
2008,1,22,1395,2895,65347
2007,1,22,1484,3211,70768
2006,1,22,3559,7710,121454
2005,1,22,1296,2744,49198
2004,1,22,1214,2587,43723
2003,1,22,1222,2488,44258
2002,1,22,1282,2712,50430
2001,1,22,1394,3060,58107
2000,1,22,1574,3424,59680
1999,1,22,1458,3178,56393
1998,1,22,1446,3235,50471
1997,1,22,1542,3383,53092
1996,1,22,1526,3361,49691
1995,1,22,1569,3404,47200
1994,1,22,1639,3689,48786
1993,1,22,1740,3956,54036
2011,1,23,71,139,3145
2010,1,23,97,189,4424
2009,1,23,85,152,2921
2008,1,23,104,194,4969
2007,1,23,103,212,4603
2006,1,23,81,158,3145
2005,1,23,81,160,3294
2004,1,23,72,156,3271
2003,1,23,61,118,2697
2002,1,23,69,149,2202
2001,1,23,60,119,2175
2000,1,23,64,142,2591
1999,1,23,61,129,2002
1998,1,23,73,178,2535
1997,1,23,78,170,2456
1996,1,23,74,140,2135
1995,1,23,94,204,3036
1994,1,23,105,210,2982
1993,1,23,110,264,3354
2011,1,24,457,953,23827
2010,1,24,443,897,24626
2009,1,24,579,1202,35009
2008,1,24,524,1070,30756
2007,1,24,563,1237,32977
2006,1,24,535,1163,30808
2005,1,24,512,1040,24722
2004,1,24,486,964,23120
2003,1,24,488,1024,25764
2002,1,24,442,949,22338
2001,1,24,425,919,20626
2000,1,24,408,867,17638
1999,1,24,417,887,17231
1998,1,24,422,897,16554
1997,1,24,498,1061,20149
1996,1,24,472,985,17244
1995,1,24,516,1114,18350
1994,1,24,572,1279,19109
1993,1,24,548,1240,19134
2011,1,25,247,442,13891
2010,1,25,253,448,10713
2009,1,25,256,476,11950
2008,1,25,295,576,15430
2007,1,25,322,630,15504
2006,1,25,313,633,14758
2005,1,25,293,572,12065
2004,1,25,286,535,14019
2003,1,25,248,498,10872
2002,1,25,244,459,10411
2001,1,25,256,514,12259
2000,1,25,233,446,10524
1999,1,25,261,505,9948
1998,1,25,228,478,8443
1997,1,25,283,535,10342
1996,1,25,287,578,9396
1995,1,25,285,526,10062
1994,1,25,292,613,9465
1993,1,25,365,770,12257
2011,1,26,999,2051,40917
2010,1,26,1116,2295,41505
2009,1,26,1233,2606,44363
2008,1,26,1344,2744,51725
2007,1,26,1225,2659,46659
2006,1,26,1153,2513,45426
2005,1,26,1149,2440,47165
2004,1,26,979,2092,37191
2003,1,26,930,1857,33941
2002,1,26,917,1858,35122
2001,1,26,887,1738,31924
2000,1,26,915,1863,33598
1999,1,26,879,1726,30395
1998,1,26,998,2103,35083
1997,1,26,1046,2202,35547
1996,1,26,913,1860,24938
1995,1,26,972,1980,24805
1994,1,26,974,2051,23033
1993,1,26,1032,2159,24026
2011,1,27,207,405,8717
2010,1,27,178,337,6354
2009,1,27,239,449,9501
2008,1,27,206,401,10035
2007,1,27,184,361,8633
2006,1,27,183,362,7427
2005,1,27,198,390,9417
2004,1,27,206,420,7184
2003,1,27,176,362,6705
2002,1,27,170,336,6417
2001,1,27,163,308,5837
2000,1,27,154,317,6851
1999,1,27,164,353,6988
1998,1,27,214,461,8164
1997,1,27,198,403,10775
1996,1,27,153,338,5840
1995,1,27,182,337,6582
1994,1,27,180,398,6196
1993,1,27,170,337,4709
2011,1,28,2653,5498,109556
2010,1,28,2597,5504,99163
2009,1,28,2991,6139,115773
2008,1,28,3075,6351,126767
2007,1,28,3123,6437,112555
2006,1,28,3879,8141,145309
2005,1,28,2727,5589,98458
2004,1,28,2563,5188,84530
2003,1,28,2579,5286,89744
2002,1,28,2609,5247,89322
2001,1,28,2656,5372,84068
2000,1,28,2798,5742,89952
1999,1,28,2771,5857,91439
1998,1,28,2791,5796,84529
1997,1,28,2637,5565,73652
1996,1,28,2614,5499,74784
1995,1,28,2607,5596,65592
1994,1,28,2667,5758,67893
1993,1,28,2610,5716,63472
2011,1,29,613,1265,28323
2010,1,29,619,1238,26936
2009,1,29,653,1321,28602
2008,1,29,679,1463,36745
2007,1,29,609,1274,29450
2006,1,29,626,1366,27390
2005,1,29,608,1308,25696
2004,1,29,570,1185,21785
2003,1,29,563,1160,24998
2002,1,29,560,1164,20533
2001,1,29,576,1187,24917
2000,1,29,589,1254,23434
1999,1,29,632,1397,26021
1998,1,29,1574,3641,88430
1997,1,29,615,1339,22581
1996,1,29,498,1122,16871
1995,1,29,549,1170,14674
1994,1,29,555,1237,19521
1993,1,29,576,1330,17370
2011,1,30,55,109,2210
2010,1,30,66,147,2449
2009,1,30,79,157,3101
2008,1,30,66,133,2782
2007,1,30,72,148,2846
2006,1,30,68,152,2538
2005,1,30,72,176,3440
2004,1,30,82,167,2140
2003,1,30,62,118,2351
2002,1,30,66,135,1686
2001,1,30,67,147,2301
2000,1,30,67,143,2061
1999,1,30,57,149,2020
1998,1,30,67,153,1902
1997,1,30,58,110,1443
1996,1,30,67,144,1787
1995,1,30,79,151,1852
1994,1,30,69,149,2515
1993,1,30,63,166,1674
2011,1,31,142,313,6959
2010,1,31,117,229,5161
2009,1,31,148,321,9912
2008,1,31,121,251,6016
2007,1,31,130,299,5874
2006,1,31,135,331,6437
2005,1,31,147,360,6546
2004,1,31,156,318,5886
2003,1,31,144,330,7347
2002,1,31,126,293,6134
2001,1,31,125,267,4513
2000,1,31,135,309,5414
1999,1,31,127,278,4594
1998,1,31,149,330,5122
1997,1,31,140,321,5646
1996,1,31,117,281,4444
1995,1,31,166,403,5117
1994,1,31,130,303,3880
1993,1,31,172,450,5753
2011,1,32,239,503,11341
2010,1,32,225,466,9510
2009,1,32,272,555,12239
2008,1,32,256,536,11449
2007,1,32,228,499,20036
2006,1,32,226,491,10082
2005,1,32,250,519,12624
2004,1,32,211,459,8853
2003,1,32,155,341,6086
2002,1,32,161,320,6199
2001,1,32,143,311,6635
2000,1,32,160,331,6461
1999,1,32,145,315,5710
1998,1,32,143,310,5243
1997,1,32,138,293,4098
1996,1,32,167,342,4888
1995,1,32,146,291,3579
1994,1,32,133,281,3127
1993,1,32,159,341,3362
2011,1,33,73,146,2980
2010,1,33,95,179,4079
2009,1,33,80,143,3453
2008,1,33,76,165,3707
2007,1,33,78,159,4478
2006,1,33,72,146,3326
2005,1,33,93,176,5210
2004,1,33,80,149,3574
2003,1,33,60,113,2429
2002,1,33,56,97,2413
2001,1,33,41,84,1377
2000,1,33,57,110,2020
1999,1,33,55,90,2676
1998,1,33,75,148,3141
1997,1,33,87,189,5088
1996,1,33,72,154,2853
1995,1,33,56,124,2160
1994,1,33,90,193,2977
1993,1,33,97,182,3058
2011,1,34,331,682,16332
2010,1,34,328,625,15025
2009,1,34,375,733,20845
2008,1,34,398,784,20096
2007,1,34,415,862,48594
2006,1,34,416,865,19972
2005,1,34,412,863,19222
2004,1,34,442,843,17902
2003,1,34,390,781,15892
2002,1,34,338,707,14239
2001,1,34,365,767,15905
2000,1,34,376,787,17127
1999,1,34,367,756,16061
1998,1,34,408,904,15357
1997,1,34,393,831,15327
1996,1,34,399,884,14717
1995,1,34,427,898,15660
1994,1,34,447,956,13936
1993,1,34,459,1049,17202
2011,1,35,175,399,9278
2010,1,35,156,344,7474
2009,1,35,211,475,11870
2008,1,35,180,403,8596
2007,1,35,189,423,8593
2006,1,35,175,432,7823
2005,1,35,160,360,6269
2004,1,35,176,404,8229
2003,1,35,184,415,7132
2002,1,35,169,400,7920
2001,1,35,151,374,7219
2000,1,35,185,419,7173
1999,1,35,216,500,7222
1998,1,35,186,476,6044
1997,1,35,204,482,6192
1996,1,35,203,515,6629
1995,1,35,192,498,5084
1994,1,35,180,459,5445
1993,1,35,187,464,6106
2011,1,36,1013,1924,44347
2010,1,36,1001,1980,36542
2009,1,36,1037,2027,42898
2008,1,36,1137,2150,46992
2007,1,36,1042,1966,36965
2006,1,36,1128,2138,42042
2005,1,36,1047,2002,36939
2004,1,36,1033,1994,34149
2003,1,36,906,1716,31078
2002,1,36,893,1695,28927
2001,1,36,947,1838,33615
2000,1,36,959,1831,32243
1999,1,36,1053,2063,33855
1998,1,36,1045,2048,32580
1997,1,36,1065,2117,34573
1996,1,36,1112,2240,30202
1995,1,36,1095,2219,29570
1994,1,36,1124,2342,28981
1993,1,36,1169,2365,31320
2011,1,37,1517,3256,69170
2010,1,37,1476,3208,64372
2009,1,37,1615,3525,69253
2008,1,37,1544,3171,69630
2007,1,37,1610,3557,71566
2006,1,37,1481,3244,67026
2005,1,37,1503,3197,62641
2004,1,37,1490,3165,56827
2003,1,37,1493,3207,65385
2002,1,37,1466,3234,59386
2001,1,37,1370,2963,55894
2000,1,37,1445,3031,57308
1999,1,37,1426,3041,51465
1998,1,37,1545,3353,55464
1997,1,37,1463,3239,46182
1996,1,37,1489,3307,49110
1995,1,37,1500,3388,42679
1994,1,37,1454,3346,40890
1993,1,37,1515,3392,41530
2011,1,38,58,111,2230
2010,1,38,60,129,3518
2009,1,38,45,113,2269
2008,1,38,50,119,2474
2007,1,38,51,119,2133
2006,1,38,61,153,2349
2005,1,38,59,150,2327
2004,1,38,42,102,1781
2003,1,38,47,129,1904
2002,1,38,47,118,1846
2001,1,38,43,105,1645
2000,1,38,56,115,1767
1999,1,38,57,140,2116
1998,1,38,76,171,2122
1997,1,38,56,122,1802
1996,1,38,53,121,1500
1995,1,38,61,151,1590
1994,1,38,59,158,1463
1993,1,38,76,170,2061
2011,1,39,1008,2069,46702
2010,1,39,1009,2032,42037
2009,1,39,1134,2270,51186
2008,1,39,1188,2420,54020
2007,1,39,1188,2443,50731
2006,1,39,1165,2463,50059
2005,1,39,1078,2228,44351
2004,1,39,1024,2207,43303
2003,1,39,1029,2175,43175
2002,1,39,993,2012,41956
2001,1,39,1072,2286,49897
2000,1,39,1044,2153,39882
1999,1,39,1049,2285,37473
1998,1,39,1126,2414,40913
1997,1,39,1146,2375,37233
1996,1,39,1114,2362,38113
1995,1,39,1178,2559,37580
1994,1,39,1052,2253,29359
1993,1,39,1060,2277,30652
2011,1,40,389,878,15709
2010,1,40,379,874,17665
2009,1,40,357,771,13391
2008,1,40,417,901,16892
2007,1,40,359,814,14200
2006,1,40,413,930,16879
2005,1,40,374,870,13790
2004,1,40,359,806,12586
2003,1,40,412,906,14736
2002,1,40,388,827,14447
2001,1,40,382,912,13984
2000,1,40,455,1035,17192
1999,1,40,436,921,15541
1998,1,40,399,876,14995
1997,1,40,469,1077,13489
1996,1,40,436,974,11953
1995,1,40,423,951,11317
1994,1,40,443,1036,12289
1993,1,40,485,1154,12972
2011,1,41,160,312,5338
2010,1,41,138,287,5870
2009,1,41,158,331,7014
2008,1,41,156,293,6351
2007,1,41,159,306,5417
2006,1,41,139,287,4201
2005,1,41,131,269,5190
2004,1,41,158,311,6056
2003,1,41,144,307,4707
2002,1,41,152,284,4416
2001,1,41,114,254,4144
2000,1,41,132,268,5618
1999,1,41,142,310,6126
1998,1,41,119,225,7502
1997,1,41,129,248,3205
1996,1,41,129,272,3547
1995,1,41,131,284,4225
1994,1,41,132,267,2689
1993,1,41,99,208,2473
2011,1,42,534,1066,26497
2010,1,42,509,972,25728
2009,1,42,566,1178,31052
2008,1,42,634,1291,35132
2007,1,42,576,1152,30177
2006,1,42,590,1182,30561
2005,1,42,568,1121,24857
2004,1,42,532,1087,26588
2003,1,42,462,936,20413
2002,1,42,498,982,21822
2001,1,42,495,1023,25113
2000,1,42,504,1012,22993
1999,1,42,548,1089,29899
1998,1,42,556,1123,20905
1997,1,42,700,1498,29038
1996,1,42,566,1293,23342
1995,1,42,614,1327,22081
1994,1,42,707,1510,24424
1993,1,42,672,1495,22105
2011,1,44,60,120,2599
2010,1,44,65,136,3028
2009,1,44,50,78,2303
2008,1,44,56,113,3288
2007,1,44,60,117,3111
2006,1,44,41,95,4361
2005,1,44,47,86,1906
2004,1,44,51,93,2148
2003,1,44,38,71,1303
2002,1,44,44,91,1671
2001,1,44,44,113,2731
2000,1,44,60,116,2982
1999,1,44,39,84,1386
1998,1,44,48,100,1910
1997,1,44,49,96,3280
1996,1,44,47,114,1673
1995,1,44,46,92,1147
1994,1,44,57,122,2034
1993,1,44,64,148,1618
2011,1,45,881,1881,23880
2010,1,45,840,1826,35883
2009,1,45,949,2072,43219
2008,1,45,886,1901,43686
2007,1,45,876,1874,41815
2006,1,45,840,1786,36608
2005,1,45,844,1806,37800
2004,1,45,830,1809,35943
2003,1,45,806,1667,32069
2002,1,45,755,1529,28190
2001,1,45,772,1724,33743
2000,1,45,791,1680,33361
1999,1,45,802,1723,31437
1998,1,45,860,1833,30193
1997,1,45,940,2032,34235
1996,1,45,911,2077,31264
1995,1,45,1006,2272,32784
1994,1,45,970,2177,28827
1993,1,45,1068,2586,31254
2011,1,46,64,146,4685
2010,1,46,76,154,2719
2009,1,46,49,113,2443
2008,1,46,57,125,2762
2007,1,46,43,91,1706
2006,1,46,47,107,1823
2005,1,46,49,80,1595
2004,1,46,46,93,1780
2003,1,46,51,114,1684
2002,1,46,44,99,1886
2001,1,46,51,125,1803
2000,1,46,45,86,1489
1999,1,46,47,104,1455
1998,1,46,45,87,1334
1997,1,46,48,107,1256
1996,1,46,53,126,1287
1995,1,46,49,113,1526
1994,1,46,88,194,2513
1993,1,46,57,157,1902
2011,1,47,3259,6698,132830
2010,1,47,3336,6819,128374
2009,1,47,3470,6928,156233
2008,1,47,3649,7359,155490
2007,1,47,3458,7012,150417
2006,1,47,3496,7071,142617
2005,1,47,3176,6605,141681
2004,1,47,3012,6209,123611
2003,1,47,3107,6313,118651
2002,1,47,3068,6266,122493
2001,1,47,3132,6428,126772
2000,1,47,3169,6535,120403
1999,1,47,3232,6615,112643
1998,1,47,3142,6603,115876
1997,1,47,3142,6454,95840
1996,1,47,3117,6511,97880
1995,1,47,2894,5881,83406
1994,1,47,2872,6137,83252
1993,1,47,2936,6248,81977
2011,1,48,2718,6016,131406
2010,1,48,2613,5751,118517
2009,1,48,2829,6226,142592
2008,1,48,2780,6120,149980
2007,1,48,2620,5863,125950
2006,1,48,2765,6225,128270
2005,1,48,2508,5653,121141
2004,1,48,2490,5480,99590
2003,1,48,2485,5484,104900
2002,1,48,2527,5458,121378
2001,1,48,2580,5695,115568
2000,1,48,2652,5960,109069
1999,1,48,2714,6086,102846
1998,1,48,2812,6360,99378
1997,1,48,2867,6520,93857
1996,1,48,2777,6507,93228
1995,1,48,2933,6866,88581
1994,1,48,2924,6901,86705
1993,1,48,3107,7479,98292
2011,1,49,182,447,7815
2010,1,49,172,402,6355
2009,1,49,173,406,8711
2008,1,49,136,337,6818
2007,1,49,123,328,6519
2006,1,49,147,370,7316
2005,1,49,151,331,6071
2004,1,49,149,332,6249
2003,1,49,143,356,6076
2002,1,49,131,340,5173
2001,1,49,157,372,7339
2000,1,49,132,343,7074
1999,1,49,133,310,5613
1998,1,49,141,369,5736
1997,1,49,136,343,5062
1996,1,49,120,301,3758
1995,1,49,99,268,3429
1994,1,49,109,264,3147
1993,1,49,119,302,4092
2011,1,50,24,46,792
2010,1,50,24,43,924
2009,1,50,38,76,1655
2008,1,50,35,65,1154
2007,1,50,42,84,1936
2006,1,50,27,58,1403
2005,1,50,47,98,1733
2004,1,50,42,87,1629
2003,1,50,37,81,1727
2002,1,50,32,57,808
2001,1,50,23,32,980
2000,1,50,32,64,788
1999,1,50,29,44,720
1998,1,50,37,71,1453
1997,1,50,48,88,1620
1996,1,50,27,46,723
1995,1,50,36,65,871
1994,1,50,31,57,606
1993,1,50,30,58,661
2011,1,51,1357,3010,90550
2010,1,51,1240,2669,74025
2009,1,51,1471,3178,91428
2008,1,51,1470,3244,94131
2007,1,51,1503,3437,102695
2006,1,51,1442,3277,80152
2005,1,51,1330,3011,73137
2004,1,51,1267,2837,62513
2003,1,51,1144,2482,61054
2002,1,51,1087,2483,55274
2001,1,51,1109,2525,56098
2000,1,51,1127,2506,53545
1999,1,51,1244,2857,55050
1998,1,51,1271,2918,52408
1997,1,51,1377,3205,54066
1996,1,51,1360,3186,61213
1995,1,51,1492,3473,53003
1994,1,51,1389,3161,43186
1993,1,51,1451,3517,46705
2011,1,53,488,1092,20516
2010,1,53,550,1202,26340
2009,1,53,500,1109,23199
2008,1,53,532,1244,26061
2007,1,53,497,1102,22094
2006,1,53,451,1054,21353
2005,1,53,423,962,19332
2004,1,53,434,941,19152
2003,1,53,427,873,16574
2002,1,53,409,890,16566
2001,1,53,427,1023,16935
2000,1,53,478,1105,19719
1999,1,53,413,922,14555
1998,1,53,450,1004,14889
1997,1,53,423,968,13342
1996,1,53,396,913,11430
1995,1,53,381,874,10009
1994,1,53,429,993,10538
1993,1,53,439,981,11509
2011,1,54,134,286,5630
2010,1,54,122,268,7193
2009,1,54,144,304,6513
2008,1,54,154,309,6814
2007,1,54,148,303,5659
2006,1,54,144,291,5911
2005,1,54,181,373,6374
2004,1,54,142,327,5449
2003,1,54,135,274,4471
2002,1,54,144,314,5206
2001,1,54,129,293,5877
2000,1,54,165,356,6197
1999,1,54,162,309,5188
1998,1,54,181,388,6215
1997,1,54,208,476,7975
1996,1,54,228,524,8249
1995,1,54,192,421,6330
1994,1,54,161,355,4304
1993,1,54,182,426,5611
2011,1,55,278,562,12428
2010,1,55,279,576,11467
2009,1,55,329,672,13717
2008,1,55,349,687,14540
2007,1,55,295,589,14402
2006,1,55,333,685,13904
2005,1,55,296,600,10615
2004,1,55,299,610,12514
2003,1,55,294,563,11037
2002,1,55,263,557,10823
2001,1,55,267,564,9338
2000,1,55,257,543,9426
1999,1,55,277,562,10930
1998,1,55,308,693,10948
